"","","par1","par2","par3","par4"
"cv",62.9482463269922,0.270392598580954,-3.18645257738478,-3.36273591645122,91.4658270370055
"cv",59.2750193253588,-0.00857259549414315,-2.18424181514577,-3.45020167447192,45.6173936010363
"cv",79.5637993142781,-0.0381073209876562,-1.87194433759175,-3.63963091490704,-541.456460691038
"cv",22.6431803485424,0.319283963954828,-3.6288576320401,-3.1905495437748,70.2480893713805
"cv",21.6490226941392,0.264711010313431,-3.19079948346957,-3.25793797372021,72.7957996722802
"cv",53.8411821145845,0.205332176739932,-2.54178921363475,-3.36408069343713,74.0985119769313
"cv",85.7984781330357,-0.319854238259684,-1.39076855881631,-3.80462865345638,-31.3807468537714
