"","","par1","par2","par3","par4"
"cv",88.7028361930148,0.906369840435471,-4.11725023955352,-3.08353537794805,249.384600033095
"cv",112.958457126195,0.739894714785952,-3.77576872259542,-3.12685445950221,230.108427662923
"cv",77.103635144257,0.934344490299105,-35.4092661346084,-3.11404362570408,250.891881774905
"cv",85.0709663525208,1.03245708731041,-22.4089791142365,-3.26173723417844,254.725677693878
"cv",93.4225933736837,0.971814044933992,-41.7946708042121,-3.26567419026642,258.302611990401
"cv",81.4904734722249,0.919691629613163,-42.946653582445,-3.10950360436054,258.102805555357
"cv",85.1797275198438,0.886478348510952,-40.6120555642167,-3.06428490093988,249.481935123297
