"","","par1","par2","par3","par4"
"cv",74.0831621632632,4.28978497601841,-46.770972644636,-9.96615491341799,851.393805107377
"cv",67.2075100393849,4.29669663249286,-31.5791465356021,-9.96009814231275,991.630797906203
"cv",88.0412571473751,4.28695992453864,-30.3769941532998,-9.98311572909055,908.675879958185
"cv",72.7895412103326,4.314540091817,-28.5050772781585,-9.98448108121644,832.94885358991
"cv",87.6263419947472,4.25242837991448,-29.8973406066419,-9.90419562043208,837.998569940488
"cv",105.544038201485,4.23395481517907,-42.0828669869494,-9.92399737203198,287.809742166223
"cv",80.0602896718369,4.25857044887282,-47.4946819795772,-9.91143986030526,972.242079515866
