"","","par1","par2","par3","par4","par5"
"cv",58.6400676383304,-0.0219497245649738,-1.4508205494007,-3.47515781299882,-74.9860278041041,-4.93582014096314
"cv",122.990263886993,-0.185410054524128,-1.33910296832984,-3.73299257979682,-975.929333233311,8.57392056396079
"cv",84.3475322623364,0.018973865243638,-1.46337004920656,-3.43582814926889,-312.772018879898,-5.95410351957504
"cv",69.630328766672,-0.0355472609228122,-1.33921551326995,-3.46853421920943,-467.47266035527,-6.92067050331572
"cv",57.3599206613224,-0.00622749943675047,-1.46524933660304,-3.48489891069011,-618.349680707021,-9.84230166663508
"cv",41.6794241475896,0.650566192198294,-40.0149832593044,-2.83138569229781,120.454519662165,-2.69026776437973
"cv",80.6139361913778,-0.0599994844960915,-1.44167615189134,-3.38984864251573,-600.863432897904,-5.64963712826385
