"","","par1","par2","par3","par4","par5"
"cv",103.177701199924,0.531893865401896,-10.8387589546341,-2.17129159006363,-20.0575555330202,8.23537362405293
"cv",94.6840149930894,0.739739845802608,-11.0368944287991,-2.18803767322489,41.0552472641634,-1.38221659231931
"cv",97.2715248609082,0.664601833193553,-29.3973008088605,-2.17693275275583,34.1398653615979,-9.95615736403649
"cv",110.444599437466,-0.905278353441624,-0.0841674323469432,-5.33950581969537,-445.031067642739,6.40613273969072
"cv",110.267855640269,0.709642498000527,-10.8176068635657,-2.27971730490579,42.6435638175848,-6.31390321789098
"cv",94.4976103453601,0.708159236552551,-28.4971758974736,-2.23992699744887,43.4628550747344,0.270621501028173
"cv",112.171693097357,0.647962944166025,-4.87437872137082,-2.29414476078901,37.1561670970002,-0.600495938183891
