"","","par1","par2","par3","par4","par5","par6"
"cv",75.6635206332092,-0.685708291047848,0.0501470506026965,-4.38906851982722,-829.17857816946,-405.820502283652,1.31063890331847
"cv",92.3132700796958,-1.26757714175348,2.64078524431038,-8.58890129243933,-125.559101953678,-164.440836966776,8.57062274069466
"cv",72.668146163399,-1.3623914846209,-0.204461500057832,-9.74339961877436,-25.2042252769167,-317.532611283063,1.97113343975275
"cv",85.8204791544989,0.807873372061167,-13.4168187215042,-2.94156681429001,691.884207447569,-22.5284846680383,3.21144703765978
"cv",93.648483335721,-0.662291306180787,-0.60251259505749,-4.3406634718506,-565.778917331537,-934.233726493008,6.44631082919181
"cv",59.1048274078215,-0.787509480486476,-0.0606991814211577,-4.88501429823445,-33.7918928923222,-363.352897171675,-9.50043792836368
"cv",70.0403047893532,-0.807072804159625,-0.437466086024869,-4.86613871535691,-95.2084809541702,-997.811353823873,8.71237638872117
