"","","par1","par2","par3","par4","par5","par6"
"cv",45.7129429358906,0.829398912801605,-33.1963701895144,-3.33059556878551,230.87374492188,-0.14530565889568,4.73548414276618
"cv",68.8086515510192,0.687239395059477,-34.2742509586927,-3.15523339026502,211.342995998541,5.75611423579577,-9.60286205634475
"cv",85.8148203933443,0.679162792407856,-20.7017954886258,-3.21238243370919,189.777148648872,4.42106105289346,1.24110859570922
"cv",80.0396039519894,0.71612034793429,-47.1278965572402,-3.36599715126044,226.072924073313,0.341843587235874,-1.82510750592368
"cv",81.8267380665876,0.601186698959511,-22.4667232377687,-3.14558645784977,236.101828664791,-5.12676244136268,-1.01750045403117
"cv",90.6224469877309,1.59349506952314,-33.1191379121043,-4.5497105558289,221.090641419909,5.19655812731151,-4.05207057026741
"cv",79.6899683538989,0.711425304815266,-32.5558526016641,-3.224893120715,232.862855842492,-1.8459684707885,-4.07261389288849
