"","","par1","par2","par3","par4","par5","par6"
"cv",92.2163227246587,0.680125593197785,-14.6463562510385,-3.40280511759796,227.537670623042,6.54622289023833,-9.50278894975781
"cv",88.0280311096881,0.548406434168665,-20.0686331638314,-3.25167788829657,253.97504649934,5.4379303509669,-1.03198451373286
"cv",80.2999721243195,0.737238204754275,-28.3690546042328,-3.48344422482907,285.604651266235,-6.50015939609523,-3.11384257225972
"cv",51.2058756696865,0.801790426123255,-47.5745170544524,-3.37462802319206,464.469804627812,-9.37265492803982,4.38133149427011
"cv",49.5856842315038,0.834731332115003,-21.1622153419177,-3.52265719552767,236.129059748008,5.791498931008,-0.783032782628549
"cv",33.3643367332637,0.674732258286839,-39.466595588627,-3.28812013493497,836.434079427552,-23.9624787788109,8.71905527824608
"cv",56.4404451462944,0.6415358349301,-21.0666908972404,-3.23462653253068,221.683513696842,3.69797156028212,0.9088997496292
