"","","par1","par2","par3","par4","par5"
"cv",120.396407265666,7.76247867829436,-21.3367079299325,-7.87279923353304,107.174055379043,-2.43466098973556
"cv",119.423327990888,3.79966108131278,-3.5302901020454,-3.53293226713932,142.315103614218,-1.24681708261603
"cv",119.88196483924,6.36612953505897,-42.7932165802735,-5.47784457166321,110.195370510226,-1.47437805295801
"cv",121.548476305897,5.5368674262829,-22.0293840108862,-5.00690987755625,124.719794481684,-1.43583623124457
"cv",121.751660705686,3.75446922074244,-25.8643547533306,-3.50786111346704,106.095438821809,-1.24227907504455
"cv",120.336026549315,4.02208531141281,-34.771465400838,-3.31320397098477,273.073842322299,1.16392621993821
"cv",122.462539555289,5.91291711200029,-3.13681290753669,-4.86251859014606,65.6565550358895,-0.595471824041869
