"","","par1","par2","par3","par4","par5"
"cv",115.629324182816,2.20912142859813,-25.6908902003053,-4.59828995180172,800.615700999305,-0.678985470827728
"cv",84.3973824426915,4.91270386786942,-44.7480598080007,-9.84026451530642,272.203181510779,-1.42583109928415
"cv",117.532278396717,0.312385572900127,-13.3250624914107,-2.48437669267482,-469.132987249958,-4.4244931094818
"cv",111.232494843664,4.75570281059514,-27.9572142628786,-9.73976755171808,285.65271148262,-3.93740895398595
"cv",81.2023930320359,4.93944715310917,-23.11510228259,-9.92245391942561,230.185490048039,-0.783611707179086
"cv",96.4789652217319,4.74631087568301,-30.2194378896539,-9.71320537677676,491.120908182374,-0.390263463587933
"cv",137.939888998443,4.65853604651791,-46.324244517282,-9.93572316074533,167.133302892361,-3.36918503194585
