"","","par1","par2","par3"
"cv",55.2335684811365,-0.10797204636052,-2.6632160836034,-3.2023991579963
"cv",47.3710842123414,-0.0673586117832357,-2.86383630435331,-3.24488656997271
"cv",28.620941595605,-0.0641366703703568,-2.8041384942179,-3.18544057161224
"cv",56.5216639204518,0.0485259460922372,-4.00535128437988,-3.05751494862313
"cv",86.5623993821888,0.190948723969753,-3.89976448004269,-3.26136915657957
"cv",47.6176521870158,-0.0536937714463697,-2.95355134192003,-3.15342549556748
"cv",35.7724299932272,-0.0522201155527476,-2.52320185880669,-3.1798681944254
