"","","par1","par2","par3","par4","par5","par6"
"cv",113.562430344139,1.05180043978182,-40.7951668836176,-3.56082930342994,835.350771378783,-23.1194817147553,5.91300972737372
"cv",93.4637144836295,1.82877234248558,-19.5407730294392,-4.60322174243629,273.035386385799,1.2876598592743,0.325407680580355
"cv",80.4380926753218,0.998013496811214,-47.5522033274457,-3.54460696172602,794.409306201029,-22.4460114556207,-6.72294817841791
"cv",91.486460451818,0.644558846691739,-5.69744494883295,-3.24639372471641,930.185778230802,-81.4709510092645,-6.92603353990937
"cv",83.4804519622833,1.12328096143961,-19.6350447720153,-3.86477359570563,663.327801928976,2.60400961803838,5.19906012411404
"cv",102.848618072995,1.37861861246499,-42.7296908062316,-4.10778401050481,311.379840052426,-2.149459680155,3.66486932852791
"cv",81.2394794146878,1.20725167953015,-20.4986490327055,-3.83994103037201,606.546518197038,0.762012117296869,-8.35625109476847
