"","","par1","par2","par3"
"cv",157.446780358984,0.347152591034312,-4.25062242086904,-2.96174976340658
"cv",85.6035608346074,0.223036778656299,-3.82526339362734,-2.647420114111
"cv",81.2125395293463,0.23128382741256,-5.19821164079055,-2.70793327679374
"cv",72.2567803688994,0.284235379698376,-10.1725587305039,-2.6721695249485
"cv",66.8360844351326,0.270049141950905,-10.4093668206862,-2.60269405618235
"cv",61.3953355143356,0.306685941522434,-6.07778565413481,-2.65087905839265
"cv",48.2332711986085,0.329031314844967,-4.8069149616128,-2.59416564137385
