"","","par1","par2","par3"
"cv",81.2105663766862,0.559839431052851,-4.04533971979409,-3.18482213865331
"cv",26.0508311986241,0.546026269675684,-6.49772249346342,-2.97821708879247
"cv",95.2821255151945,0.585024865640932,-6.91666859914868,-3.22112267115054
"cv",83.5946154920472,0.590784499137253,-9.1242075370239,-3.02224195756225
"cv",52.6919420872331,0.548075826014206,-9.01012102354524,-2.97264843879268
"cv",41.6787058051531,0.546807295919705,-6.58348438567194,-2.96392249171367
"cv",40.8236990951685,0.546829110576859,-9.02392878627629,-2.97381838176997
