"","","par1","par2","par3","par4","par5"
"cv",58.5810929911267,-0.568378809539044,-0.272695616465575,-4.34034165454,-316.931060672178,-6.66084772706431
"cv",58.3870448974615,-0.505761019509529,-0.36331835794539,-4.1733802831712,-140.005672255367,-5.05926591913307
"cv",81.0096182070505,-0.619043669604824,0.152134798507808,-4.73184143346191,-589.921107050031,-1.1440654756515
"cv",72.5753486594525,-0.480435865254964,-0.589733176541858,-4.26195562546945,-783.986738344297,3.11790849082172
"cv",92.1812699878257,-1.03046264587972,2.2917231079191,-6.59938928095605,-583.055661100961,-5.01257991106733
"cv",57.0405755954812,-0.359303323156324,-0.672838332496914,-4.05858506717177,-117.864261792029,-6.45856028778854
"cv",58.8120373992704,-1.01799884972608,2.02616505897772,-6.27679578194963,-940.488917287439,-0.0746090266746449
