"","","par1","par2","par3","par4","par5","par6"
"cv",97.6657591261493,0.383263785293328,-1.45681992491562,-3.04211526754767,356.331258016625,-618.242763914168,1.11613275468897
"cv",95.5611424223462,0.240773872413336,-1.31670011445716,-2.92346865965031,-163.328959606588,-792.990683577955,1.98947896908596
"cv",79.1080354009936,0.221286491265751,-1.3052619782321,-2.96844143912874,-188.854746692121,-339.247323100422,3.80233514916806
"cv",90.9861215856938,0.231454284979787,-1.29885244419474,-3.05240733100232,-495.417561933626,-613.176957799912,8.00252329831562
"cv",76.1611331077899,0.244481615619285,-1.45397570701101,-2.93937601660419,-506.423204065884,-592.527471714252,1.21691887602179
"cv",82.3545064699056,0.252636944385878,-1.46482587987017,-2.97994202450999,128.778239959771,-669.759177602828,0.611537500902492
"cv",85.8015591763568,0.381217503088237,-1.48579130438939,-2.88078556056249,-870.834661182016,114.069301528569,0.271482728200807
