"","","par1","par2","par3"
"cv",0.029982014387056,-5.04885863785103,-47.0605743146934,-9.99999999994222
"cv",118.179981061028,-5.01516637103017,-39.1886832285636,-6.53934216340401
"cv",115.147243858335,-2.85689307507643,-47.5305809405417,-9.99999999987413
"cv",0.029982014387056,-3.83674451055068,-47.1292621041318,-9.99999999999272
"cv",0.029982014387056,-3.42349965146778,-43.6502975089305,-9.99999999144912
"cv",0.029982014387056,-3.41771484403948,-49.8144994650246,-9.99999999999994
"cv",0.029982014387056,-7.70235069386996,-43.4193793982975,-9.99999999996176
