"","","par1","par2","par3","par4","par5","par6"
"cv",118.705559139954,-4.61833897241852,3.49759278371558,2.69888710462726,-239.179924391218,119.547019853361,9.22874672804028
"cv",118.703796070243,-5.73836016468704,-0.340458724390102,-1.25233477861389,-385.674790382118,194.928076825901,2.95007258767152
"cv",119.109477968192,-4.28092563326431,-0.705047969476873,-1.71506643528432,-703.319595054318,370.390995215833,2.60251673404127
"cv",132.023493964215,-8.48495325704783,3.33910044066446,-9.6827771795522,-447.6954668602,362.984346243138,0.389960751016432
"cv",159.872918786004,-2.33011653181165,-1.04746146659393,-8.72749469346811,-718.235314303087,714.023821856827,3.84914211612536
"cv",119.894766053927,6.34986765225594,-0.231002968962288,-6.58827465105845,462.495412223652,227.472172828313,4.83692672569305
"cv",118.710512594882,-9.41081624655942,0.416064653326796,-0.487387733071515,-744.673042776846,359.747621427862,5.68995591061018
