"","","par1","par2","par3","par4","par5","par6"
"cv",94.9316392391318,0.463594194993129,-4.94710668466115,-2.9832321079083,978.949112817645,-371.931030716576,0.557114181904582
"cv",51.0851217617794,0.553662667823528,-8.73472979914362,-2.77241885476465,528.887197967819,-166.907260941477,0.747135304732102
"cv",62.5633497827385,0.624035173845745,-17.3089684578758,-2.92502030012438,207.319007459486,-62.9642645922009,-1.61752633128856
"cv",95.8191722954296,0.431550176658267,-29.0711083915049,-2.84804133216896,329.192027838143,-97.7144555640345,0.708577188098654
"cv",35.7973807567822,0.589363099621026,-15.8433937449106,-2.83984197720708,214.459659867606,-73.3625415062028,0.333275040129381
"cv",86.3181517901823,0.666875620618181,-11.4482312530314,-2.87669361801117,-8.32075437051527,26.8159806278786,-1.51511285556834
"cv",48.1689012428878,0.505145982391073,-9.50386585001242,-2.87790464402001,640.337978913755,-101.503312587738,1.11635616561429
