"","","par1","par2","par3"
"cv",85.5816188913999,0.00312878387677357,-0.951836540187795,-3.38951462179892
"cv",84.315808560905,-0.0279720624913812,-0.947098035883781,-3.4385242928484
"cv",99.6537042966377,-0.0637200683842546,-0.944701651487523,-3.46159415760223
"cv",89.9189133111765,-0.0375205112885276,-0.94130516832759,-3.40002849859465
"cv",78.6087087132224,-0.0365789526264562,-0.917084718847865,-3.3836657891314
"cv",80.138731392261,-0.0372641075514865,-0.867984255257003,-3.49685486871214
"cv",74.8491894705763,-0.0705072218647828,-0.879020925761753,-3.49079987479602
