"UID","participant","input_model","fitted_model","nLL","lambda","beta","tau","recency","surprise_plus","full_r","full_s","asymmetry","id","age_bin","education"
"1",1,"Memory","full",107.730744273852,0.500288389574227,-1.97164750865489,-3.01948368722779,NA,NA,888.408712826192,-82.9953542127012,-7.10031293309536,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","null",83.1497197235013,0.562015707458999,-2.92207501052359,-2.51926141861524,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","null",97.1711952656064,-0.253179234259295,-1.04261256407553,-3.67877920169094,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","null",79.4536138442728,-0.0855634440158186,-1.21469417280482,-3.23688723069255,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","null",60.6095995659585,0.481504182322024,-3.05820190531804,-2.46320659083644,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","null",63.1869930105943,-0.0501407000906213,-1.41080407229607,-3.05434687109517,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","null",80.2727148763495,0.488441065021752,-3.31221463851229,-2.49768817050849,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","null",83.0825249848009,-0.314674669249054,-0.992026616481261,-3.65160641817747,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","surprise+",124.897001939065,-0.1544497062964,-1.1937368459808,-3.51008668806722,NA,13.1678459441793,NA,NA,-0.798668709111602,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","full",55.5316422712929,-0.365678761685181,-1.03885445176712,-3.64550143369628,NA,NA,140.769671815241,-355.970844315615,-5.82439723211852,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","surprise+",61.3499405619339,-0.197970820304527,-1.15684601184213,-3.35030275133409,NA,-335.733936375566,NA,NA,-0.798668709111602,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","full",80.9630580373951,0.804661571840802,-3.98725724752407,-3.07882454853658,NA,NA,534.991474626071,-31.818018851737,-5.82439723211852,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","full",70.1944980166334,-0.352476823967868,-0.921210916685261,-3.5119421522333,NA,NA,-405.430787031048,-703.296896017256,-5.82439723211852,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","surprise+",96.5090700231177,-0.322640715126028,-1.03295530275395,-3.76186578451762,NA,-976.666338924333,NA,NA,-6.05812075522643,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","full",73.7750785678384,-0.434353864246845,-0.932752209991217,-3.83301249869983,NA,NA,-886.216324868537,-7.63061563243343,-5.82439723211852,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","full",72.4787328200922,0.995319673416646,-7.59804869399644,-3.29067409409101,NA,NA,187.77385024666,5.19139271944324,-5.82439723211852,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","surprise+",58.7161674830051,-0.275773867071855,-1.05015855354682,-3.51664726772025,NA,-694.52981824382,NA,NA,-6.05812075522643,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","surprise+",95.0897121130732,-0.135248365591391,-1.15724543037508,-3.42077843287494,NA,-277.136906050146,NA,NA,-0.798668709111602,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","surprise+",86.114536281214,0.987918289326709,-3.51336472413438,-2.64072986329037,NA,13.7126569451355,NA,NA,-6.05812075522643,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","full",79.0882227895737,0.439946710164343,-2.21952850268506,-3.10807395723063,NA,NA,758.601019791584,-61.6587156020074,-7.10031293309536,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","surprise+",79.4207377758466,-0.157780289292733,-1.02408397528022,-3.55170081470566,NA,15.2812427102114,NA,NA,-0.798668709111602,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","surprise+",61.7980422475551,-0.256008632498968,-1.07310365625938,-3.55607069266188,NA,15.4417528528223,NA,NA,-0.798668709111602,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","surprise+",93.6648241222905,0.897395334200676,-6.15742039704526,-2.52632156194244,NA,14.020362861384,NA,NA,-0.798668709111602,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","surprise+",87.0467263921922,-0.210122955697983,-1.25446119032539,-3.31867681445465,NA,-217.073991794345,NA,NA,-0.798668709111602,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","full",64.9042056962974,0.556779186962356,-2.30249075205827,-2.86183842096962,NA,NA,974.975589529702,-100.247476582957,-7.10031293309536,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","full",68.4870724059629,0.238585673859999,-1.49840925890274,-3.22468453073689,NA,NA,713.466185267274,-58.9856707081035,-7.10031293309536,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","full",66.0275455941053,0.304804423761622,-1.66864425497734,-3.21274209249411,NA,NA,836.397360825639,-74.5397857599605,-7.10031293309536,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","full",82.8380136547576,0.642923734175793,-2.89908152080772,-2.80416108634305,NA,NA,932.039998720013,-96.0184185530162,-7.10031293309536,1,"48-57","Undergraduate degree (BA/BSc/other)"
"10",6,"Memory","recency",57.8559034723528,0.559800010649743,-9.36149779949849,-3.36866125718497,203.889533230823,NA,NA,NA,NA,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","surprise+",42.0432756679805,0.38773117924608,-2.3655845604478,-2.93943901192485,NA,-735.777061922008,NA,NA,-4.64794413029429,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","full",150.686972341533,0.423390146475555,-2.29820581491454,-3.34355219465578,NA,NA,-15.9883287366857,7.71788032702703,-7.63352042695162,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","full",51.3027848952516,2.66494277755048,-5.76851877684747,-7.6268098410219,NA,NA,62.3186444820469,20.2872136965546,-7.63352042695162,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","recency",57.0118280090123,0.587872561806684,-9.84270042809254,-3.3852966956999,207.64330367036,NA,NA,NA,NA,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"NoMemory","surprise+",100.13422552847,1.18412467902592,-9.31354095480318,-2.38857760759641,NA,13.6820906792815,NA,NA,-2.38794175907969,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"NoMemory","surprise+",102.010243489622,-1.1842384487924,-0.502450458952786,-8.00297270162305,NA,-298.266643889065,NA,NA,-2.38794175907969,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","surprise+",151.979749875303,0.487185645412304,-2.17277635273548,-3.36483767775257,NA,8.08304734528065,NA,NA,-4.64794413029429,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","recency",148.091613789091,0.429535457572624,-2.13303448267343,-3.34176110200936,-10.018530354002,NA,NA,NA,NA,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","recency",50.3298138627862,0.61367345660896,-9.67465478715162,-3.40391144989613,211.111614067663,NA,NA,NA,NA,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"NoMemory","full",82.5190571876187,1.03807062455,-8.67865141638936,-3.65375920414988,NA,NA,851.481593213975,-16.6267606284588,6.00468571029323,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"Memory","recency",62.0540137139772,0.649232696094256,-9.62177356512244,-3.53990716109103,212.189696652771,NA,NA,NA,NA,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"NoMemory","recency",79.4950628951985,1.29755131516105,-9.93680609205976,-4.14033383916147,274.163667166673,NA,NA,NA,NA,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
"10",6,"NoMemory","recency",82.8476915203037,1.25683544985047,-9.95847137887137,-4.1388597314956,265.30831765336,NA,NA,NA,NA,6,"28-37","Graduate degree (MA/MSc/MPhil/other)"
