"","","par1","par2","par3","par4","par5","par6"
"cv",94.1858053935765,1.14478080548661,-39.3777649509899,-3.3328213300485,445.791582859729,-9.40033746858416,-9.33788348205726
"cv",111.1352430677,-1.23020123258807,1.6423069541488,-7.87180866764242,-463.052510826509,-875.626664143056,8.71184641964597
"cv",99.5342238630933,-0.979924673421396,-0.477651459288228,-5.48715396557958,-784.280083958926,-603.883912786841,9.86861249215475
"cv",105.384635193776,-1.2367196092879,3.16860759466887,-7.62873631960054,-704.584857815528,-615.319841522857,9.02829916212171
"cv",70.3293164647278,-0.71835566345065,-0.213320320472121,-4.16307132913913,-880.421549197074,-601.773748338154,6.31024258755909
"cv",97.9094306228544,1.00167211411771,-13.4190379874885,-3.26700452043745,284.220955606608,7.69069919253018,1.75983850376444
"cv",76.7356399662075,0.929851808417051,-48.8901771890694,-3.07210611716566,693.897681418867,-22.1425587222555,-4.88760461209724
