"","","par1","par2","par3"
"cv",0.029982014387056,-6.23204592046878,-48.0085687188119,-9.99999999971791
"cv",68.6412730696415,-3.50154719004845,-47.7536007418273,-9.99999999997282
"cv",66.4386264916146,-7.79867789663376,-48.7515955193581,-9.9999999999456
"cv",66.4386264907448,-2.2885523128345,-39.0238859656743,-9.9999999999627
"cv",138.170696227124,-4.65375481362124,-48.8093646776352,-9.99999999927612
"cv",66.4386264890733,-5.81572408224219,-49.1272707314849,-9.99999999999523
"cv",22.9926143610591,-9.06951475187246,-36.3074097691141,-9.99999999996836
