"","","par1","par2","par3","par4"
"cv",66.8586413584024,0.616530998944307,-2.91975731878429,-3.58602155692936,8.51330554240102
"cv",41.8916873655075,0.507237995357097,-2.17722886709374,-3.67068613331451,6.80123270145172
"cv",44.2955385477706,0.720586608152566,-2.82739516135234,-3.6671568505201,2.90610773763244
"cv",26.3821050668569,0.558845475619922,-2.84793827030108,-3.51607582384397,6.72049198936621
"cv",36.5848966373218,0.576570453858467,-2.78472650518011,-3.61685659985641,8.99817091062009
"cv",56.2420583002674,0.59828573423415,-20.0992780341955,-3.25051098251428,10.4162949937126
"cv",70.5778183577222,0.723962391081134,-4.50195112963466,-3.80805390489942,195.626393013373
