"","","par1","par2","par3","par4"
"cv",73.5594316854169,1.21816153759549,-12.5870998468914,-3.96209228711609,248.409091127495
"cv",80.8301927849978,1.09540274565391,-10.7143771796364,-3.69881629952383,232.324499488341
"cv",78.1668175101379,1.21074888460582,-16.374136860851,-3.87833135751011,245.772218302999
"cv",71.2339125375154,1.24292884289831,-44.4615246559767,-3.89169139045192,243.546498036952
"cv",90.728434406127,1.23690913555779,-39.2363277603739,-3.90976141060281,246.158647818203
"cv",113.830888129154,1.77217690222261,-6.48912813796038,-5.00355886036937,253.71047008878
"cv",87.2871683053051,1.23941024190028,-35.4557263842875,-3.85792815693048,247.461239547159
