"","","par1","par2","par3","par4"
"cv",75.5186734888652,1.1006277094191,-41.9095737517387,-3.44780588476804,259.590389091742
"cv",99.948240339472,1.20386815001074,-26.0759219314781,-3.76700628955101,261.457853835941
"cv",78.468508209372,1.05009136200002,-27.9694022420479,-3.35363496462787,261.633249131498
"cv",93.8130435179106,1.12376319533745,-42.3551077324642,-3.48034573115574,252.955538037911
"cv",72.4217834022454,-1.20498399077654,3.03428656095884,-8.14786405997208,-765.173028621323
"cv",76.1484379404835,1.19882430340417,-41.7492297212027,-3.55253806450805,264.745178477374
"cv",82.6067832203793,1.05232322694647,-48.5926449751062,-3.36905704155239,260.705675974959
