"","x"
"1",107
"2",9
"3",74
"4",112
"5",76
"6",55
"7",72
"8",54
"9",39
"10",83
"11",88
"12",15
"13",110
"14",42
"15",71
"16",119
"17",34
"18",24
"19",13
"20",95
"21",8
"22",7
"23",27
"24",86
"25",82
"26",29
"27",96
"28",85
"29",92
"30",50
"31",26
"32",33
"33",100
"34",91
"35",93
"36",30
"37",68
"38",51
"39",114
"40",59
